事件,參數,參數值,參數值說明,頁面,觸發時機,Android埋設,Android進版號,iOS埋設,iOS進版號,
"target": "46",,點擊ui_type：labelCardList時觸發。點擊後送出item內的id與名稱。送出類型依照position_type而定,true,5.0.0,true,5.0.0,
,type_name,album,送item的type(導轉類型)
"type": "album",,,true,5.0.0,true,5.0.0,
,name,身體的故事1,送item的title(專輯名稱or 播放清單名稱)
"title": "身體的故事1",,,,true,5.0.0,true,5.0.0,
bannerList_click,position_page,首頁,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),首頁,點擊ui_type：bannerList時觸發。目前僅規劃運用在首頁，但未來可能會有延伸使用的可能,true,5.0.0,true,5.0.0,
,,闖關任務頁,,闖關任務頁,,false,5.0.0,false,5.0.0,
,,主題策展頁,,主題策展頁,,false,5.0.0,true,5.0.0,
,name,現在訂閱每天只要3元，優惠即將截止！,送item的title(Banner標題)
"title": "現在訂閱每天只要3元，優惠即將截止！",,點擊ui_type：bannerList時觸發。點擊後送出item內的banner標題,true,5.0.0,true,5.0.0,
,id,46,送item的target(專輯id or 播放清單id)
"target": "46",首頁,,true,5.0.0,true,5.0.0,
,type_name,album,送item的type(導轉類型)
"type": "album",首頁,,true,5.0.0,true,5.0.0,
specialPick_click,position_page,首頁,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),首頁,點擊ui_type：specialPick時觸發。目前僅規劃運用在首頁,true,5.0.0,true,5.0.0,
,,闖關任務頁,,闖關任務頁,,false,5.0.0,false,5.0.0,
,,主題策展頁,,主題策展頁,,false,5.0.0,true,5.0.0,
,position_type,♫ 今天聽什麼 ♫,將title送到posotion_type,首頁,當position_page為「首頁」時送出，代表點擊的版位。目前僅規劃運用在今天聽什麼,true,5.0.0,true,5.0.0,
,id,1387,送item的target(專輯id)
"target": "1387",,點擊ui_type：specialPick時觸發。目前統一設定為專輯。點擊後送出data內的專輯id與專輯名稱,true,5.0.0,true,5.0.0,
,type_name,album,送type的值   
 "type": "album",,首頁,,true,5.0.0,true,5.0.0,
,name,科普知識大進擊 10 變來變去的颱風,送description(專輯名稱)
"description": "科普知識大進擊 10 變來變去的颱風",,,,true,5.0.0,true,5.0.0,
verticalCardList_click,id,46,送item的target(專輯id)
"target": "46",,點擊ui_type：verticalCardList時觸發。目前僅規劃運用在首頁,true,5.0.0,true,5.0.0,
,name,身體的故事1,送item的title(專輯名稱)
"title": "身體的故事1",,,true,5.0.0,true,5.0.0,
,group_age,5~10 歲,送item的content(適聽年齡)
"content": "5~10 歲",,,true,5.0.0,true,5.0.0,
,type_name,開啟,用戶切換的推播狀態，由前端送,,,true,5.0.0,true,5.0.0,
,,關閉,,,,true,5.0.0,true,5.0.0,
,position_type,上架預告,將title送到posotion_type,,,true,5.0.0,true,5.0.0,
,position_page,首頁,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),首頁,,true,5.0.0,true,5.0.0,
,,闖關任務頁,,闖關任務頁,,false,5.0.0,false,5.0.0,
,,主題策展頁,,主題策展頁,,false,5.0.0,false,5.0.0,
circleCardList_click,position_page,首頁,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),首頁,點擊ui_type：circleCardList時觸發。目前規劃運用在首頁與闖關任務列表頁,true,5.0.0,false,5.0.0,
,,闖關任務頁,,闖關任務頁,,false,5.0.0,false,5.0.0,
,,主題策展頁,,主題策展頁,,false,5.0.0,false,5.0.0,
,position_type,人氣角色,將title送到posotion_type,,當position_page為「首頁」時送出，目前僅規劃運用在人氣角色,true,5.0.0,true,5.0.0,
,id,99,人氣角色id，送items的id
"target": "99",,目前統一設定為人氣角色。點擊後送出item內的人氣角色id與人氣角色名稱,true,5.0.0,true,5.0.0,
,type_name,character,送type的值   
 "type": "character",,人氣角色介紹頁,,true,5.0.0,true,5.0.0,
,name,小行星,人氣角色名稱，送items的title
"title": "小行星",,,,true,5.0.0,true,5.0.0,
rankCardList_click,position_page,首頁,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),首頁,點擊ui_type：rankCardList時觸發。目前僅規劃運用在首頁,true,5.0.0,true,5.0.0,
,,闖關任務頁,,闖關任務頁,,true,5.0.0,true,5.0.0,
,,主題策展頁,,主題策展頁,,true,5.0.0,true,5.0.0,
,position_type,每日收聽排行,將title送到posotion_type,首頁,當position_page為「首頁」時送出，代表點擊的版位。目前僅規劃運用在每日收聽排行,true,5.0.0,true,5.0.0,
,id,46,送item的target(專輯id)
"target": "46",,點擊ui_type：rankCardList時觸發。目前統一設定為專輯。點擊後送出item內的專輯id與專輯名稱,true,5.0.0,true,5.0.0,
,type_name,album,送type的值   
 "type": "album",,,,true,5.0.0,true,5.0.0,
,name,身體的故事1,送item的title(專輯名稱)
"title": "身體的故事1",,,,true,5.0.0,true,5.0.0,
eventCardList_click,position_page,首頁,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),首頁,點擊ui_type：eventCardList時觸發。目前規劃運用在首頁與闖關任務列表頁,true,5.0.0,true,5.0.0,
,,闖關任務列表,,闖關任務列表頁,,false,5.0.0,false,5.0.0,
,,闖關任務頁,,闖關任務頁,,false,5.0.0,false,5.0.0,
,,主題策展頁,,主題策展頁,,false,5.0.0,false,5.0.0,
,position_type,闖關任務,將title送到posotion_type,首頁,,false,5.0.0,true,5.0.0,
,id,8,送item的target(闖關任務id)
"target": "8",,,true,5.0.0,true,5.0.0,
,type_name,album,送type的值   
 "type": "album",,,,true,5.0.0,true,5.0.0,
,name,森林嬉遊曲 闖關活動,送item的title(闖關任務名稱)
"title": "森林嬉遊曲 闖關活動",,,true,5.0.0,true,5.0.0,
bulletCardList_click,position_page,首頁,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),首頁,點擊ui_type：bulletCardList時觸發。目前規劃運用在首頁,true,5.0.0,true,5.0.0,
,,闖關任務頁,,闖關任務頁,,false,5.0.0,false,5.0.0,
,,主題策展頁,,主題策展頁,,false,5.0.0,false,5.0.0,
,position_type,精選主題,將title送到posotion_type,首頁,,true,5.0.0,true,5.0.0,
,id,138,送items的target(闖關任務id)
 "target": "138",,,true,5.0.0,true,5.0.0,
,type_name,galleryPlaylist,送type的值   
 "type": "galleryPlaylist",,,,true,5.0.0,true,5.0.0,
,name,好品格養成計畫,送items的title(精選主題名稱)
"title": "好品格養成計畫",,,true,5.0.0,true,5.0.0,
section_icon_click,position_page,首頁,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),,有使用ui_type的section就會傳送這個事件,true,5.0.0,true,5.0.0,
,position_type,繼續收聽,,,,true,5.0.0,true,5.0.0,
,,我的最愛,,,,true,5.0.0,true,5.0.0,
,,人氣角色專區,,,,true,5.0.0,true,5.0.0,
,,闖關任務,,,,true,5.0.0,true,5.0.0,
,,上架預告,,,,true,5.0.0,true,5.0.0,
,,故事大來賓,,,,true,5.3.0,true,5.3.0,
favoritePlaylists_save,,,,編輯我的最愛頁,儲存我的最愛,true,5.0.0,true,5.0.0,
character_click,id,99,人氣角色id,,,true,5.0.0,true,5.0.0,
,name,小行星,人氣角色名稱,,,true,5.0.0,true,5.0.0,
v5.4.0 Freemium,,,,,,,,,,
subscription_popup_view,,,,,當無權益的用戶點選「播放」或「下載」，紀錄跳出訂閱提醒popup的事件,true,5.4.3,true,5.1.0,
,position_title,小行星,該頁面的內容名稱,,,true,5.4.3,true,5.1.0,
,position_page,首頁
專輯頁
分類列表_搜尋
精選主題
播放清單
互動故事_遊戲頁
故事庫_已下載故事
故事庫_已下載專輯,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),根據觸發彈窗的頁面，檢查送出的screen_view,,true,5.4.3,true,5.1.0,
,position_type,播放,紀錄觸發彈窗的行爲,,,true,5.4.3,true,5.1.0,
,,下載,,,,true,5.4.3,true,5.1.0,
subscription_button_click,,,,,當訂閱提醒popup跳出後，紀錄點擊popup上『前往升級』的點擊事件,true,5.4.3,true,5.1.0,
,position_name,小行星,該頁面的內容名稱,,,true,5.4.3,true,5.1.0,
,position_page,首頁
專輯頁
分類列表_搜尋
精選主題
播放清單
互動故事_遊戲頁
故事庫_已下載故事
故事庫_已下載專輯,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),根據觸發彈窗的頁面，檢查送出的screen_view,,true,5.4.3,true,5.1.0,
,position_type,播放,紀錄觸發彈窗的行爲,,,true,5.4.3,true,5.1.0,
,,下載,,,,true,5.4.3,true,5.1.0,
imageCardList_click,id,1,送item的target
"target": "1",,點擊ui_type：imageCardList時觸發,true,5.3.0,true,5.3.0,
,type_name,celebrityPlaylist,送type的值 
 "type": "celebrityPlaylist",,,,true,5.3.0,true,5.3.0,
,name,鄧惠文,來賓名稱，送item的title
“title”:”鄧惠文”,,,true,5.3.0,true,5.3.0,
,position_page,首頁,把screen_view帶進去,,,true,5.3.0,true,5.3.0,
,position_type,故事大來賓,將title送到posotion_type,,,true,5.3.0,true,5.3.0,
celebrity_click,id,1,來賓id,,1.在首頁點擊故事大來賓人物
2.在故事大來賓列表頁點擊人物,true,5.3.0,true,5.3.0,
,name,鄧惠文,來賓名稱，送item的title
“title”:”鄧惠文”,,,true,5.3.0,true,5.3.0,
specialEntrance_click,type_name,trialAlbums,送type的值   
 "type": "freemium" (會員暢聽專區)
 "type": "trialAlbums"(新手故事推薦),首頁,,true,5.4.0,true,5.4.0,
doubleLabelCardList_click,id,46,送item的target
"target": "1",,點擊ui_type：doubleLabelCardList時觸發,true,5.4.0,true,5.4.0,
,type_name,album,送type的值 
 "type": "album",,,,true,5.4.0,true,5.4.0,
,name,身體的故事,來賓名稱，送item的title
“title”:”鄧惠文”,,,true,5.4.0,true,5.4.0,
,position_page,會員暢聽專區,把screen_view帶進去,,,true,5.4.0,true,5.4.0,
,position_type,全專輯無限暢聽
部分集數搶先聽,將title送到posotion_type,,,true,5.4.0,true,5.4.0,
v5.5.0 升級彈窗,,,,,,,,,,
upgrade_click,,,,,點擊Tab欄的「升級」按鈕時送出,true,5.4.3,true,5.4.3,
subscription_optional_view,position_title,小行星,該頁面的內容名稱,,顯示建議訂閱彈窗時，送出事件。對照remote_config事件dialog_subscription_optional,true,5.5.0,true,5.5.0,
,position_page,首頁
專輯頁
分類列表_搜尋
精選主題
播放清單
互動故事_遊戲頁
故事庫_已下載故事
故事庫_已下載專輯,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),根據觸發彈窗的頁面，檢查送出的screen_view,,true,5.5.0,true,5.5.0,
,position_type,播放,紀錄觸發彈窗的行爲,,,true,5.5.0,true,5.5.0,
,,下載,,,,true,5.5.0,true,5.5.0,
subscription_optional_click,position_title,小行星,該頁面的內容名稱,,顯示建議訂閱彈窗時，點選「了解更多」時送出事件。對照remote_config事件dialog_subscription_optional,true,5.5.0,true,5.5.0,
,position_page,首頁
專輯頁
分類列表_搜尋
精選主題
播放清單
互動故事_遊戲頁
故事庫_已下載故事
故事庫_已下載專輯,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),根據觸發彈窗的頁面，檢查送出的screen_view,,true,5.5.0,true,5.5.0,
,position_type,播放,紀錄觸發彈窗的行爲,,,true,5.5.0,true,5.5.0,
,,下載,,,,true,5.5.0,true,5.5.0,
signup_popup_view,position_title,小行星,該頁面的內容名稱,,顯示登入彈窗時，送出事件。對照remote_config事件：dialog_sign_up,true,5.5.0,true,5.5.0,
,position_page,首頁
專輯頁
分類列表_搜尋
精選主題
播放清單
互動故事_遊戲頁
故事庫_已下載故事
故事庫_已下載專輯,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),根據觸發彈窗的頁面，檢查送出的screen_view,,true,5.5.0,true,5.5.0,
,position_type,播放,紀錄觸發彈窗的行爲,,,true,5.5.0,true,5.5.0,
,,下載,,,,true,5.5.0,true,5.5.0,
signup_popup_click,position_title,小行星,該頁面的內容名稱,,顯示登入彈窗時，並點選「立即體驗」後送出事件。對照remote_config事件：dialog_sign_up,true,5.5.0,true,5.5.0,
,position_page,首頁
專輯頁
分類列表_搜尋
精選主題
播放清單
互動故事_遊戲頁
故事庫_已下載故事
故事庫_已下載專輯,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),根據觸發彈窗的頁面，檢查送出的screen_view,,true,5.5.0,true,5.5.0,
,position_type,播放,紀錄觸發彈窗的行爲,,,true,5.5.0,true,5.5.0,
,,下載,,,,true,5.5.0,true,5.5.0,
subscription_required_view,position_title,小行星,該頁面的內容名稱,,顯示登入彈窗時，送出事件。對照remote_config事件：dialog_subscription_required,true,5.5.0,true,5.5.0,
,position_page,首頁
專輯頁
分類列表_搜尋
精選主題
播放清單
互動故事_遊戲頁
故事庫_已下載故事
故事庫_已下載專輯,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),根據觸發彈窗的頁面，檢查送出的screen_view,,true,5.5.0,true,5.5.0,
,position_type,播放,紀錄觸發彈窗的行爲,,,true,5.5.0,true,5.5.0,
,,下載,,,,true,5.5.0,true,5.5.0,
,story_name,洗手歌‧舞蹈版,,,,false,,false,,尚未討論&埋設
,album_name,晚安故事摩天輪 12,,,,false,,false,,尚未討論&埋設
subscription_required_click,position_title,小行星,該頁面的內容名稱,,顯示登入彈窗時，並點選「立即升級」後送出事件。對照remote_config事件：dialog_subscription_required,true,5.5.0,true,5.5.0,
,position_page,首頁
專輯頁
分類列表_搜尋
精選主題
播放清單
互動故事_遊戲頁
故事庫_已下載故事
故事庫_已下載專輯,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),根據觸發彈窗的頁面，檢查送出的screen_view,,true,5.5.0,true,5.5.0,
,position_type,播放,紀錄觸發彈窗的行爲,,,true,5.5.0,true,5.5.0,
,,下載,,,,true,5.5.0,true,5.5.0,
,story_name,洗手歌‧舞蹈版,,,,false,,false,,尚未討論&埋設
,album_name,晚安故事摩天輪 12,,,,false,,false,,尚未討論&埋設
v5.6.0 分類改版：分類總覽、分齡排行,,,,,,,,,,
topic_click,id,123,分類的id,分類總覽頁,在分類總覽頁點擊分類時，送出事件,false,5.6.0,true,5.6.0,
,topic_name,兒童雜誌,分類的名稱,,,false,5.6.0,true,5.6.0,
series_click,id,123,系列的id,分類頁,在分類頁點擊系列時，送出事件,false,5.6.0,true,5.6.0,
,series_name,兒童雜誌,系列的名稱,,,false,5.6.0,true,5.6.0,
,referer,橋樑讀本,從哪一個分類進入系列,,,false,5.6.0,true,5.6.0,
ageranking_group_click,position_type,0-3歲
4-6歲
7-12歲,分齡群組,分齡排行頁,進入分齡排行頁，實際點擊分齡群組後送出事件。進入頁面預設值為4-6歲，不會送出4-6歲的事件,false,5.6.0,false,5.6.0,
