事件,參數,參數值,參數值說明,頁面,觸發時機,Android埋設,Android進版號,iOS埋設,iOS進版號,
,current_time,88,純數值，送出歌曲當下的秒數,,,true,,true,,
pause_story,story_id,3163,歌曲id,原生播放器、大播放器、小播放器、專輯頁,暫停故事時,true,,true,,
,story_name,洗手歌‧舞蹈版,歌曲名稱,,,true,,true,,
,album_name,晚安故事摩天輪 12,歌曲所屬專輯,,,true,,true,,
,position_name,main_player,大播放器,,,true,,true,,
,,background_player,原生播放器(遠端控制器）,,,true,,true,,
,,mini_player,小播放器,,,true,,true,,
,,history_page,播放紀錄頁,,,true,,true,,
,,storylist_page,自訂清單頁,,,true,,true,,
,,download_page,下載頁,,,true,,true,,
,,album_page,專輯頁,,,true,,true,,
,,timer,睡眠播放器關閉,,,true,,true,,
,,close_APP,整個APP滑掉,,,true,,true,,
,,phone_interrupt,電話中斷,,,true,,true,,
,,close_mini_player,關閉小播放器,,,true,,true,,
,,故事大來賓播放清單,故事大來賓播放清單,,,true,,true,,
,speed,1,1.5,播放速度(改為數值以利計算),,,true,,true,,
,current_time,88,純數值，送出歌曲當下的秒數,,,true,,true,,
change_story_speed,story_id,3163,歌曲id,大播放器,改變播放速度時,true,,true,,
,story_name,洗手歌‧舞蹈版,歌曲名稱,,,true,,true,,
,album_name,晚安故事摩天輪 12,歌曲所屬專輯,,,true,,true,,
,origin,1,原始值,,,false,,true,,
,modified,1.5,變更值,,,false,,true,,
,current_time,88,純數值，送出歌曲當下的秒數,,,true,,true,,
drag_story,story_id,3163,歌曲id,原生播放器、大播放器,拖曳播放秒數時,true,,true,,
,story_name,洗手歌‧舞蹈版,歌曲名稱,,,,,,,
,album_name,晚安故事摩天輪 12,歌曲所屬專輯,,,,,,,
,position_name,main_player,大播放器,,,,,,,
,,background_player,原生播放器(遠端控制器）,,,,,,,
,speed,1,1.5,播放速度(改為數值以利計算),,,,,,,
,current_time,88,純數值，送出歌曲當下的秒數,,,,,,,
,drag_to_time,100,1. 純數值，送出拖曳後到達的秒數
2. 往前、往後拖都可以,,,,,,,
end_story,story_id,3163,歌曲id,原生播放器、大播放器,完成播放完整首故事時,true,,true,,
,story_name,洗手歌‧舞蹈版,歌曲名稱,,,true,,true,,
,album_name,晚安故事摩天輪 12,歌曲所屬專輯,,,true,,true,,
,speed,1,1.5,播放速度(改為數值以利計算),,,true,,true,,
,play_type,complete
trial,complete : 播放完整音擋
trial : 播放試聽檔,,,true,,true,,
,topic_name,橋樑讀本,故事所屬的分類,,,false,,false,,
,series_name,小火龍系列,故事所屬的系列，若為空值就不送,,,false,,false,,
,current_time,88,純數值，送出歌曲當下的時間
永遠是這個故事的最後一秒,,,true,,true,,
story_listencomplete,story_id,故事id,,,達成分潤時觸發,true,,true,4.25.6,
,story_name,故事名稱,,,,,,,,
,album_name,專輯名稱,,,,,,,,
,topic_name,橋樑讀本,故事所屬的分類,,,,,,,
,series_name,小火龍系列,故事所屬的系列，若為空值就不送,,,,,,,
,author,作者,,,,,,,,
,group_age,適聽年齡,,,,,,,,
download_story,story_id,3163,歌曲id,專輯頁、自訂清單內頁、策展清單頁、播放紀錄頁,下載故事時,true,,true,,
,story_name,洗手歌‧舞蹈版,歌曲名稱,,,,,,,
,album_name,晚安故事摩天輪 12,歌曲所屬專輯,,,,,,,
,position_name,album_page,專輯頁,,,,,,,
,,storylist_page,自訂清單頁,,,,,,,
,,history_page,播放紀錄頁,,,,,,,
,,策展清單,策展清單頁,,,,,,,
,,故事大來賓播放清單,故事大來賓播放清單,,,false,5.3.0,true,5.3.0,
play_story_source,referral,下載,因應快取機制實作，用來辨識播放故事時的音檔來源,All,播放故事時，進入快取判斷流程，並將最後的播放方式發送出事件。事件送出以1首歌為單位。若快取方式為串流(span)，則發送最初觸發的播放行為,true,4.27.0,true,4.27.0,
,,雲端,,,,,,,,
,,快取,,,,,,,,
story_cache_delete,,,,清除快取頁面,手動點擊清除快取時,true,4.27.0,true,4.27.0,
set_timer,story_id,3163,歌曲id,大播放器,用戶點擊選項後送出,false,,true,,
,story_name,洗手歌‧舞蹈版,歌曲名稱,,,,,,,
,album_name,晚安故事摩天輪 12,歌曲所屬專輯,,,,,,,
,type_name,15分鐘 / 30分鐘 / 45分鐘 / 60分鐘 / 播完當前故事,用戶選擇的定時選項,,,,,,,
view_storylist,id,94751,播放清單ID,自訂清單頁、策展清單頁,滑動頁面出現播放清單時,false,,true,,
,name,大寶最愛的歌、行銷_黃醫生說故事,播放清單名稱,,,,,,,
create_storylist,id,95770,播放清單ID,專輯頁、故事庫頁面、策展清單頁,建立播放清單時,false,,true,,
,name,刷牙寶寶,播放清單名稱,,,,,,,
rename_storylist,id,95770,播放清單ID,自訂清單內頁,更換播放清單的名字時,false,,true,,
,name,刷牙,rename後的播放清單名稱,,,,,,,
remove_storylist,id,95770,播放清單ID,自訂清單內頁,移除播放清單時,false,,true,,
,name,刷牙寶寶,播放清單名稱,,,,,,,
download_storylist,id,94751,播放清單ID,自訂清單頁、策展清單頁,下載播放清單時,false,,true,,
,name,大寶最愛的歌、行銷_黃醫生說故事,播放清單名稱,,,,,,,
,position_page,把screen_view帶進去,,,,true,5.3.0,true,5.3.0,
add_story_to_storylist,story_id,3171,歌曲id,專輯頁、自訂清單內頁、策展清單頁、播放紀錄頁,增加故事到播放清單時,true,4.29.0,true,4.29.0,
,story_name,媽媽我愛你 (演奏版),歌曲名稱,,,true,4.29.0,true,4.29.0,
,album_name,晚安故事摩天輪 12,歌曲所屬專輯,,,true,4.29.0,true,4.29.0,
,id,13489,播放清單ID,,,true,4.29.0,true,4.29.0,
,name,大寶最愛聽的歌,播放清單名稱,,,,4.29.0,,4.29.0,
add_album_to_storylist,album_id,100,專輯id,專輯頁,增加專輯到播放清單時,true,,true,,
,album_name,晚安故事摩天輪 12,歌曲名稱,,,true,,true,,
,id,13489,播放清單ID,,,false,,true,,
,name,大寶最愛聽的歌,播放清單名稱,,,,,,,
,author,胡妙芬,作者,,,false,,true,,
,group_age,3,6,適聽年齡,,,false,,true,,
add_celebrity_to_storylist,celebrity_id,100,故事大來賓清單ID,故事大來賓播放清單頁,在故事大來賓播放清單中，點擊播放旁邊的「+」，並選擇「加入其他播放清單」,true,5.3.0,true,5.3.0,
,celebrity_name,晚安故事摩天輪 12,故事大來賓清單名稱,,,true,5.3.0,true,5.3.0,
,id,13489,加入的播放清單ID,,,true,5.3.0,true,5.3.0,
,name,大寶最愛聽的歌,加入的播放清單名稱,,,true,5.3.0,true,5.3.0,
remove_story_from_storylist,story_id,3171,歌曲id,自訂清單內頁,移除播放清單的故事時,true,,true,,
,story_name,媽媽我愛你 (演奏版),歌曲名稱,,,true,,true,,
,id,13489,播放清單ID,,,false,,true,,
,name,大寶最愛聽的歌,播放清單名稱,,,,,,,
sort_storylist ,id,95770,播放清單ID,自訂清單內頁,於播放清單編輯模式點擊完成,false,,true,,
,name,刷牙,播放清單名稱,,,,,,,
add_gallery_to_storylist,gallery_id,3171,策展清單id,策展清單頁,新增策展清單(精選主題推薦)至播放清單中送出事件,false,,true,4.15.0,
,gallery_name,媽媽我愛你 (演奏版),策展清單名稱,,,,,,,
,id,13489,播放清單ID,,,,,,,
,name,大寶最愛聽的歌,播放清單名稱,,,,,,,
add_playlist_to_storylist,gallery_id,3171,個人播放清單id,策展清單頁,新增策展清單(精選主題推薦)至播放清單中送出事件,true,4.29.0,true,4.29.0,
,gallery_name,媽媽我愛你 (演奏版),個人播放清單名稱,,,,,,,
,id,13489,播放清單ID,,,,,,,
,name,大寶最愛聽的歌,播放清單名稱,,,,,,,
change_sort_storylist,type_name,預設,預設,故事庫,點選故事庫的「排序」鍵，並點選對應的排序功能後,true,4.19.8,true,4.19.5,
,,最近播放,最近播放,,,,,,,
,,最近加入,最近加入,,,,,,,
,,最近更新,最近更新,,,,,,,
view_interactive_story,id,1,互動故事id,互動故事詳細資料頁,user進到互動故事詳細資料頁面,false,,true,,
,name,台灣夜市小吃,互動故事名稱,,,,,,,
 play_interactive_story,id,1,互動故事id,互動故事詳細資料頁,user點擊播放按鈕後觸發,false,,true,,
,name,台灣夜市小吃,互動故事名稱,,,,,,,
finish_interactive_story,id,1,互動故事id,互動故事詳細資料頁,完成互動故事後觸發,false,,true,,
,name,台灣夜市小吃,互動故事名稱,,,false,,true,,
interactive_story_listencomplete,story_id,互動故事id,,,分潤,false,,true,4.25.6,
,story_name,互動故事名稱,,,,,,,,
join_beta_test_plan,不送任何參數,,,會員頁（僅安卓）,當使用者點擊加入Beta計畫  > 確認,true,,true,,
view_recommend
（推薦曝光）,position_id,album_rc_{id},曝光當頁的專輯id,專輯頁,滑動頁面出現推薦版位的專輯時送出,true,,true,,
,position_name,album_rc_{album_name},曝光當頁的專輯名稱,,,,,,,
,album_id,605,推薦的專輯id,,,,,,,
,album_name,晚安故事摩天輪 12,推薦的專輯名稱,,,,,,,
,location_id,1~6,由左至右、由上至下，顯示1-6,,,,,,,
,referral,c2i,i2i,c2i系統墊檔
i2i智慧推薦專輯推專輯,,,,,,,
select_recommend
（點擊推薦版位）,position_id,album_rc_id,曝光當頁的專輯id,專輯頁,當用戶點擊推薦版位的專輯後送出,true,,true,,
,position_name,album_rc_{album_name},曝光當頁的專輯名稱,,,,,,,
,album_id,605,推薦的專輯id,,,,,,,
,album_name,晚安故事摩天輪 12,推薦的專輯名稱,,,,,,,
,location_id,1~6,由左至右、由上至下，顯示1-6,,,,,,,
,referral,c2i,i2i,c2i系統墊檔
i2i智慧推薦專輯推專輯,,,,,,,
click_topic,topic_id,1,分類id,分類頁,用戶點擊分類列表中的分類時觸發事件,false,,true,,
,topic_name,最新上架,分類名稱,,,,,,,
